Cancer_Cells,Regulatory_T_Cells,Effector_T_Cells,Macrophages,Endothelial_Cells,Fibroblast,Survival
5.4787729557293,1.61213694850086,12.9732746109253,0.987473639311411,0.516047290940192,22.8781187300789,PCR
6.45266751605926,1.53418555186573,12.8552473150423,1.02012208753414,0.509254681401582,22.6851600494307,PCR
7.55163253681187,1.46441781262708,12.664645468965,1.04891232597499,0.502340688335764,22.0842628765508,PCR
8.72106183554265,1.40301477127566,12.4040462203269,1.07199447691511,0.515411665179291,21.0818408587859,PCR
9.87510889545315,1.35001818833296,12.0829541031279,1.08781378599793,0.508417006537512,19.7343561750852,PCR
10.9089329913749,1.30527712769234,11.7181969141612,1.09544858995945,0.501705583647325,18.1445234442047,PCR
11.7219320590274,1.26841204697205,11.332267092195,1.09483485465956,0.513526738364635,16.4418601234472,PCR
12.2426268494679,1.23881174232574,10.9498812175988,1.08677128107219,0.507025537362646,14.7545362129747,PCR
12.4435800522096,1.2156658704549,10.5940375792945,1.07270559153318,0.501065382295092,13.1849434565965,PCR
12.340970308066,1.19802288007958,10.2830060650961,1.05440355817555,0.511252301343823,11.797864161869,PCR
11.9822333204312,1.18485642600148,10.0290185297992,1.03363235311418,0.505642968105901,10.6219367670027,PCR
11.4298170357633,1.17512504770838,9.83849504473874,1.01194455885618,0.500552115076147,9.65889034877109,PCR
10.7474373967554,1.16781632001737,9.71316072391578,0.990578284394074,0.509318102108773,8.89445578766214,PCR
9.99140411811228,1.16196650836494,9.65141578635235,0.970441353716548,0.517332890903806,8.30727771197006,PCR
9.20687953046515,1.1566757866797,9.64955468499511,0.952151637117794,0.501117421709774,7.8747280124762,PCR
8.42744815236016,1.15112231039044,9.70266165921972,0.936099212685935,0.5031134662594,7.5760452907876,PCR
7.67636973903942,1.14458159693096,9.80522141427719,0.922513004718445,0.512955530179415,7.39370674736244,PCR
6.96865462686019,1.1364296488232,9.95148734703318,0.911513932546842,0.501111224114471,7.31369129799479,PCR
6.31305596882324,1.12614049251393,10.1356690696554,0.903149729533216,0.502112837412074,7.32526186836101,PCR
5.71366160563198,1.1133031810927,10.3520510066097,0.897431369915692,0.500872367431016,7.42055981393806,PCR
5.17135823896401,1.09762599667004,10.5950631621758,0.894357261506669,0.516363694251219,7.5945330359168,PCR
4.68492007132964,1.07892587173573,10.859308305731,0.893923140999073,0.55061242454607,7.84496327376901,PCR
4.25178524689523,1.05712695466989,11.1395994510822,0.896135028719424,0.605500329115811,8.17154191826026,PCR
3.86863321807855,1.03225064594584,11.4309979741589,0.901016624919953,0.682731459949485,8.57559778557112,PCR
3.53178421685963,1.00440152126105,11.728850568175,0.908613665761566,0.783783278730717,9.06012267358795,PCR
3.23756208323063,0.97375399305555,12.0288232539136,0.918999764737943,0.909860572558116,9.62953275440945,PCR
2.98247266989236,0.940536699118434,12.3269295311175,0.932281210762494,1.06183535450515,10.2895983485417,PCR
2.76336415287053,0.905015775126753,12.6195493015956,0.948601947331109,1.24016831592816,11.0474116837337,PCR
2.57761477463259,0.867479120952774,12.9034302633645,0.968149707643612,1.44481498398631,11.9112310014588,PCR
2.42326784500139,0.828222183685068,13.175668795964,0.991162650035132,1.67511055729474,12.890294967144,PCR
2.29921401841959,0.787535955105699,13.4336671858033,1.01793676022336,1.92963187342353,13.9945076452072,PCR
2.20547280435167,0.745698369805361,13.6750588114994,1.04883381152883,2.20603569596265,15.2338535275272,PCR
2.14358510328664,0.702969821156481,13.8975963459344,1.08428869728729,2.50086863667546,16.6174566694723,PCR
2.11723327147088,0.659593911659831,14.0989885598335,1.12481456882115,2.80933898530975,18.1520552963007,PCR
2.13328580934242,0.615803988385346,14.276661334069,1.17100137468331,3.1250683917177,19.839505463333,PCR
2.20342191548877,0.571836873384919,14.4274106960383,1.22350088504806,3.43982164478987,21.6729294373076,PCR
2.34680753514797,0.527955245659383,14.546884931782,1.28298377739469,3.74323308175182,23.6306767077337,PCR
2.73327180660344,0.506737605046972,14.6235499417404,1.35807564024302,3.49306917313631,25.6148905881526,PCR
3.42972193913569,0.50080989337363,14.6247724017959,1.44529152960009,2.88427127553402,27.2682599434046,PCR
4.4094805921764,0.500952683469358,14.5319059656013,1.53539009981689,2.36331806737857,28.3847887391362,PCR
5.74712215509357,0.502933770906139,14.3272010066538,1.62422856361787,1.92560060268241,28.7722628420674,PCR
7.48828756730261,0.500917593208881,13.9929826297747,1.70572894196525,1.56464154279783,28.2562763835217,PCR
59.39,7.88,4.16,12.52,3.06,9.99,PCR
56.0654546170857,6.30229374004667,2.92344984402255,8.70242215190635,1.84156958286164,3.82470323898946,PCR
48.9568607154455,5.33188621114668,2.21114535054068,6.17145042690706,1.22046912932819,1.62625304579576,PCR
41.5096605102608,4.6792930914439,1.7980728993595,4.50019730891795,0.868060176924363,1.00558181379167,PCR
34.9771690123555,4.20699252940597,1.55550954833865,3.37069510324216,0.649858289194517,1.06113955358587,PCR
29.4133118614271,3.84468245613486,1.41529165724354,2.58427650776397,0.505366141225705,1.00691077907505,PCR
24.7008591980081,3.5539312419368,1.34203052306792,2.02359587034628,0.508235047765365,1.02619196278654,PCR
20.7204927850064,3.31197376704604,1.31660680156023,1.61503609740026,0.525230513302533,1.06769772999796,PCR
17.3704277933145,3.10438524316639,1.32847633915459,1.31012975201527,0.501565599719236,1.003553661805,PCR
14.5444079732142,2.92173907813612,1.37206943670551,1.07743985290694,0.506572167791511,1.01171790379614,PCR
12.1668640073491,2.75776224174785,1.4448086331814,0.896715902491571,0.519351248132588,1.0248188148361,PCR
10.1678738778222,2.60802054451696,1.54607281538928,0.754092632845081,0.510009028474669,1.00870057730095,PCR
8.48802217094087,2.4692986066534,1.67665345146595,0.639960977332447,0.501600215554123,1.00076902635162,PCR
